LYXOR COMMODITIES CRBNONENERGY;G1O 
LYXOR ETF ASIA EX 10;G1K 
LYXOR ETF DOW JONES IA 10;JC6 
LYXOR ETF INDONESIA 10;P2Q 
LYXOR ETF MSCI EMERGING MKT 10;H1N 
LYXOR ETF MSCI EUROPE 10;JC5 
LYXOR ETF MSCI INDIA 10;G1N 
LYXOR ETF MSCI MALAYSIA 10;G1M 
LYXOR ETF MSCI WORLD 10;H1P 
LYXOR ETF NASDAQ100 10;H1Q 
LYXOR ETF RUSSIA 10;JC7 
LYXOR ETF THAI SET 10;P2P 
LYXOR HANG SENG INDEX FUND 10;A9B 
LYXOR KOREA 10;AO9 
LYXOR MSCI TAIWAN INDEX FUND10;A9A 
LYXORETF MSCI EM LATIN AMERICA;H1O 
M DEVELOPMENT LTD.;N14 
M1 LIMITED;B2F 
MAGNUS ENERGY GROUP LTD.;41S 
MAIWAI FUND;TY3 
MALAYSIA SMELTING CORP BHD 100;NC9 
MANDARIN ORIENTAL INTL LTD;M04 
MANHATTAN RESOURCES LIMITED;L02 
MANULIFE US REIT;BTOU
MAPLETREE COMMERCIAL TRUST;N2IU
MAPLETREE GREATER CHINACOMM TR;RW0U
MAPLETREE INDUSTRIAL TRUST;ME8U
MAPLETREE LOGISTICS TRUST;M44U
MARCO POLO MARINE LTD.;5LY 
MARUWA CO. LTD;M12 
MARY CHIA HOLDINGS LIMITED;5OX 
MATEX INTERNATIONAL LIMITED;M15 
