BTWZ;HYFLUX S$500M6%PERPCAPSEC     
5I4;ICP LTD                       
5TN;IEV HOLDINGS LIMITED          
AIY;IFAST CORPORATION LTD.        
I49;IFS CAPITAL LIMITED           
Q0F;IHH HEALTHCARE BERHAD         
5HT;IMPERIUM CROWN LIMITED        
I4R;INCH KENNETH KAJANG RUBBER PLC
BESU;INDIABULLS PROPERTIES INVTRUST
5JS;INDOFOOD AGRI RESOURCES LTD.  
5G4;INFINIO GROUP LIMITED         
BOU;INFORMATICS EDUCATION LTD.    
I26;INNOPAC HOLDINGS LIMITED      
AGAW;INNOPAC HOLDINGS W171110      
M14;INNOTEK LIMITED               
571;INTERNATIONAL PRESS SOFTCOM   
5GI;INTERRA RESOURCES LIMITED     
5WA;INTL HEALTHWAY CORP LIMITED   
I06;INTRACO LIMITED               
J0T;INVESTMENT BEVER BUSINESS FUND
AZA;IPC CORPORATION LIMITED       
I11;IPCO INT'L LIMITED            
42N;IPS SECUREX HOLDINGS LIMITED  
UD1U;IREIT GLOBAL                  
I98;IS MSCI INDIA 100             
QK9;IS MSCI INDIA 100 S$          
I07;ISDN HOLDINGS LIMITED         
T8UW;ISDN HOLDINGS LIMITED W181110 
40T;ISEC HEALTHCARE LTD.          
I15;ISETAN (SINGAPORE) LTD        
N6M;ISHARES USD ASIA BOND ETF     
QL2;ISHARES USD ASIA BOND ETF S$  
O9P;ISHARES USD ASIA HY BOND ETF  
QL3;ISHARES USD ASIA HY BOND ETFS$
5WF;ISOTEAM LTD.                  
5EC;ISR CAPITAL LIMITED           
42C;IX BIOPHARMA LTD.             
N6AD;JA SOLAR ADR 10               
J17;JACKSPEED CORPORATION LIMITED 
J03;JADASON ENTERPRISES LTD       
5OI;JAPAN FOODS HOLDING LTD.      
UD2;JAPFA LTD.                    
C07;JARDINE CYCLE & CARRIAGE LTD  
J36;JARDINE MATHESON HLDGS LTD    
J37;JARDINE STRATEGIC HLDGS LTD   
5I3;JASON HOLDINGS LIMITED        
5PF;JASON MARINE GROUP LIMITED    
FQ7;JASPER INVESTMENTS LIMITED    
BJE;JAYA HOLDINGS LTD             
BEW;JB FOODS LIMITED              
5FA;JEP HOLDINGS LTD.             
1C1W;JEP HOLDINGS LTD.W191220      
EG0;JES INTERNATIONAL HOLDINGS LTD
C8R;JIUTIAN CHEMICAL GROUP LIMITED
E9L;JOYAS INTERNATIONAL HLDGS LTD 
5OS;JUBILEE INDUSTRIES HLDGS LTD. 
42R;JUMBO GROUP LIMITED           
BLT;K1 VENTURES LIMITED           
K29;KARIN TECHNOLOGY HLDGS LIMITED
1A0;KATRINA GROUP LTD.            
BNE;KENCANA AGRI LIMITED          
5TT;KEONG HONG HOLDINGS LIMITED   
CCAW;KEPCORP MB ECW170703          
CFEW;KEPCORP MB ECW171002          
CCBW;KEPCORP MB EPW170703          
CFDW;KEPCORP MB EPW171002          
BN4;KEPPEL CORPORATION LIMITED    
AJBU;KEPPEL DC REIT                
A7RU;KEPPEL INFRA TRUST WEF 2015   
K71U;KEPPEL REIT                   
K11;KEPPEL TELE & TRAN            
K03;KHONG GUAN LIMITED            
5G2;KIMHENG OFFSHORE&MARINE HLDLTD
1D0;KIMLY LIMITED                 
554;KING WAN CORPORATION LIMITED  
K14;KINGBOARD COPPER FOIL HDGS LTD
5MZ;KINGSMEN CREATIVES LTD        
5TI;KITCHEN CULTURE HOLDINGS LTD. 
504;KLW HOLDINGS LTD              
40CW;KLW HOLDINGS LTD W170630      
BJZ;KODA LTD                      
5HV;KOH BROTHERS ECO ENGG LIMITED 
K75;KOH BROTHERS GROUP LIMITED    
T9R;KOLAO HOLDINGS GDR            
5DL;KOON HOLDINGS LIMITED         
5I1;KOP LIMITED                   
5VC;KORI HOLDINGS LIMITED         
5OC;KOYO INTERNATIONAL LIMITED    
SK3;KRISENERGY LTD.               
CDXW;KRISENERGY LTD. W240131       
CDVZ;KRISENERGY S$139.464MZ240131  
578;KS ENERGY LIMITED             
